id,listing_url,name,host_id,host_name,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,amenities,price
958,https://www.airbnb.com/rooms/958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,t,Western Addition,3,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Pack \u2019n Play/travel crib"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""First aid kit"",""Smoke alarm"",""Refrigerator"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Room-darkening shades"",""Garden or backyard"",""Hair dryer"",""Kitchen"",""Washer"",""Keypad"",""Cable TV"",""Oven"",""Free street parking""",$132.00 
5858,https://www.airbnb.com/rooms/5858,Creative Sanctuary,8904,Philip And Tania,f,Bernal Heights,5,1,2,"""Smoke alarm"",""Heating"",""Kitchen"",""First aid kit"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Washer"",""Iron"",""Shampoo"",""Dryer"",""Hangers"",""Hair dryer"",""Essentials"",""Laptop-friendly workspace""",$235.00 
7918,https://www.airbnb.com/rooms/7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,f,Haight Ashbury,2,4,1,"""Host greets you"",""Heating"",""Hot water"",""Kitchen"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Lock on bedroom door"",""Washer"",""Dryer"",""TV"",""Carbon monoxide alarm"",""Hangers"",""Free street parking"",""Smoke alarm""",$56.00 
8142,https://www.airbnb.com/rooms/8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,f,Haight Ashbury,2,4,1,"""Host greets you"",""Heating"",""Hot water"",""Kitchen"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Lock on bedroom door"",""Washer"",""Dryer"",""TV"",""Carbon monoxide alarm"",""Free street parking"",""Smoke alarm""",$56.00 
8339,https://www.airbnb.com/rooms/8339,Historic Alamo Square Victorian,24215,Rosy,f,Western Addition,4,1.5,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Dishwasher"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""TV"",""Dishes and silverware"",""Hair dryer"",""Kitchen"",""Oven"",""Bed linens"",""Free street parking""",$750.00 
8739,https://www.airbnb.com/rooms/8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,t,Mission,3,1,1,"""Heating"",""Hot water"",""Children\u2019s books and toys"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Indoor fireplace"",""Dishwasher"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""First aid kit"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Host greets you"",""Cable TV"",""Bed linens""",$169.00 
9225,https://www.airbnb.com/rooms/9225,Artful Potrero Separate Floor with Garden,29674,Gae,t,Potrero Hill,2,1,1,"""Heating"",""Hot water"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Garden or backyard"",""Hair dryer"",""Kitchen"",""Washer"",""Cable TV"",""Bed linens"",""Free street parking""",$150.00 
10251,https://www.airbnb.com/rooms/10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,t,Mission,4,1,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Indoor fireplace"",""Dishwasher"",""Luggage dropoff allowed"",""Lockbox"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Refrigerator"",""Wifi"",""Bathtub"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Garden or backyard"",""Hair dryer"",""Kitchen"",""High chair"",""Washer"",""Cable TV"",""Oven"",""Free street parking""",$200.00 
10820,https://www.airbnb.com/rooms/10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,t,Haight Ashbury,3,1,3,"""Refrigerator"",""Heating"",""Kitchen"",""Wifi"",""Stove"",""Washer"",""Microwave"",""Cable TV"",""Dryer"",""TV"",""Oven"",""Carbon monoxide alarm"",""Dishes and silverware"",""Smoke alarm""",$170.00 
10824,https://www.airbnb.com/rooms/10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,t,Western Addition,5,2,3,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Carbon monoxide alarm"",""Dishwasher"",""Microwave"",""Hangers"",""Essentials"",""Smoke alarm"",""Refrigerator"",""Free parking on premises"",""Wifi"",""Cooking basics"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Kitchen"",""Washer"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking""",$166.00 
10832,https://www.airbnb.com/rooms/10832,Union Square Modern Loft,38836,Bernat,t,Downtown/Civic Center,2,1.5,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Indoor fireplace"",""Elevator"",""Dishwasher"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Refrigerator"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Kitchen"",""Washer"",""Cable TV"",""Oven""",$121.00 
12041,https://www.airbnb.com/rooms/12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,f,Haight Ashbury,2,3,1,"""Host greets you"",""Heating"",""Hot water"",""Kitchen"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Lock on bedroom door"",""Washer"",""Dryer"",""TV"",""Carbon monoxide alarm"",""Free street parking"",""Smoke alarm""",$65.00 
12042,https://www.airbnb.com/rooms/12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,f,Haight Ashbury,2,3,1,"""Host greets you"",""Heating"",""Hot water"",""Kitchen"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Lock on bedroom door"",""Washer"",""Dryer"",""TV"",""Carbon monoxide alarm"",""Free street parking"",""Smoke alarm""",$65.00 
12522,https://www.airbnb.com/rooms/12522,Perfectly located Castro,18431,Brenda,t,Castro/Upper Market,1,1,1,"""Host greets you"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Heating"",""Hot water"",""Kitchen"",""Dishwasher"",""Wifi"",""Iron"",""Microwave"",""Dishes and silverware"",""Bed linens"",""Hair dryer"",""Essentials"",""Laptop-friendly workspace""",$79.00 
12584,https://www.airbnb.com/rooms/12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",49383,Tom,t,Inner Sunset,4,1,2,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Stair gates"",""Indoor fireplace"",""Paid parking off premises"",""Dishwasher"",""Luggage dropoff allowed"",""BBQ grill"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Bathtub"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Hair dryer"",""Long term stays allowed"",""Kitchen"",""Babysitter recommendations"",""Washer"",""Keypad"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking""",$117.00 
18904,https://www.airbnb.com/rooms/18904,Lower Haight Urban Zen with private bath,72464,Patrick,t,Western Addition,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""First aid kit"",""Smoke alarm"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""Dishes and silverware"",""Hair dryer"",""Long term stays allowed"",""Host greets you"",""Kitchen"",""Free street parking""",$130.00 
21334,https://www.airbnb.com/rooms/21334,Studio loft on top of Russian Hill,81455,Joe,f,Nob Hill,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Pocket wifi"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Hot tub"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Kitchen"",""Washer"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking"",""Ethernet connection""",$130.00 
21914,https://www.airbnb.com/rooms/21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,f,Haight Ashbury,2,4,1,"""Host greets you"",""Heating"",""Hot water"",""Kitchen"",""Fire extinguisher"",""Wifi"",""Private entrance"",""Lock on bedroom door"",""Washer"",""Dryer"",""TV"",""Carbon monoxide alarm"",""Free street parking"",""Smoke alarm""",$56.00 
23630,https://www.airbnb.com/rooms/23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,t,Castro/Upper Market,2,1,1,"""Heating"",""Hot water"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Luggage dropoff allowed"",""Lockbox"",""Private entrance"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Shampoo"",""Garden or backyard"",""TV"",""Dishes and silverware"",""Hair dryer"",""Breakfast"",""Cable TV"",""Bed linens""",$155.00 
24463,https://www.airbnb.com/rooms/24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,t,Potrero Hill,2,1,1,"""Heating"",""Hot water"",""Stove"",""Air conditioning"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Indoor fireplace"",""Dishwasher"",""Lockbox"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Patio or balcony"",""Hair dryer"",""Kitchen"",""Washer"",""Cable TV"",""Oven"",""Bed linens"",""Free street parking""",$182.00 
24685,https://www.airbnb.com/rooms/24685,Castro/Haight San Francisco,100567,Alison,t,Haight Ashbury,1,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Carbon monoxide alarm"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""TV"",""Dishes and silverware"",""Hair dryer"",""Kitchen"",""Breakfast"",""Washer"",""Oven"",""Bed linens""",$79.00 
25094,https://www.airbnb.com/rooms/25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,t,Noe Valley,2,1,1,"""Bathroom essentials"",""Indoor fireplace"",""Heating"",""Dishwasher"",""Fire extinguisher"",""Wifi"",""Bedroom comforts"",""Washer"",""Iron"",""Garden or backyard"",""Dryer"",""TV"",""Coffee maker"",""Room-darkening shades"",""Full kitchen"",""Carbon monoxide alarm"",""Hair dryer"",""Free street parking"",""Smoke alarm""",$171.00 
25463,https://www.airbnb.com/rooms/25463,Modern Zen in the Lower Haight,72464,Patrick,t,Western Addition,2,1,1,"""Heating"",""Hot water"",""Stove"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Shower gel"",""Fire extinguisher"",""Wifi"",""Shampoo"",""Dishes and silverware"",""Hair dryer"",""Host greets you"",""Kitchen"",""Bed linens"",""Free street parking""",$110.00 
26408,https://www.airbnb.com/rooms/26408,Huge Central Victorian/Alamo Square,111141,Isabella,f,Western Addition,10,2,4,"""Heating"",""Children\u2019s books and toys"",""Stove"",""Iron"",""Dryer"",""Carbon monoxide alarm"",""Paid parking off premises"",""Dishwasher"",""Luggage dropoff allowed"",""Lockbox"",""Private entrance"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""First aid kit"",""Smoke alarm"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Crib"",""Shampoo"",""Dishes and silverware"",""Garden or backyard"",""Patio or balcony"",""Hair dryer"",""Kitchen"",""High chair"",""Washer"",""Oven""",$480.00 
27025,https://www.airbnb.com/rooms/27025,Modernized Edwardian Apartment in the Castro/Eureka Valley,115673,Luis,t,Castro/Upper Market,2,1,1,"""Bathroom essentials"",""Heating"",""Dishwasher"",""Fire extinguisher"",""Wifi"",""Bedroom comforts"",""Washer"",""Iron"",""Dryer"",""TV"",""Coffee maker"",""Room-darkening shades"",""Full kitchen"",""Carbon monoxide alarm"",""Hair dryer"",""Free street parking"",""Smoke alarm""",$157.00 
27028,https://www.airbnb.com/rooms/27028,Secret Mission Garden,7149,Ivan & Wendy,t,Mission,4,1,1,"""Heating"",""Hot water"",""Private living room"",""Children\u2019s books and toys"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Pack \u2019n Play/travel crib"",""Indoor fireplace"",""Paid parking off premises"",""Dishwasher"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Lock on bedroom door"",""Shampoo"",""Garden or backyard"",""TV"",""Dishes and silverware"",""Hair dryer"",""Host greets you"",""Cable TV"",""Bed linens""",$200.00 
29373,https://www.airbnb.com/rooms/29373,Sunny house with garden,126263,Cecilia,t,Bernal Heights,4,2,2,"""Heating"",""Stove"",""Iron"",""Dryer"",""Coffee maker"",""Dishwasher"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Cooking basics"",""Shampoo"",""Garden or backyard"",""Dishes and silverware"",""Hair dryer"",""Host greets you"",""Kitchen"",""Washer"",""Oven"",""Free street parking""",$171.00 
29557,https://www.airbnb.com/rooms/29557,gigi's bed and breakfast,126036,Gigi,t,Outer Richmond,4,1,1,"""Heating"",""Hot water"",""Children\u2019s books and toys"",""Iron"",""Carbon monoxide alarm"",""Coffee maker"",""Pack \u2019n Play/travel crib"",""Paid parking off premises"",""Luggage dropoff allowed"",""Microwave"",""Hangers"",""Essentials"",""Laptop-friendly workspace"",""Smoke alarm"",""First aid kit"",""Extra pillows and blankets"",""Refrigerator"",""Fire extinguisher"",""Wifi"",""Bathtub"",""Shampoo"",""Crib"",""TV"",""Dishes and silverware"",""Room-darkening shades"",""Garden or backyard"",""Hair dryer"",""Long term stays allowed"",""Children\u2019s dinnerware"",""High chair"",""Breakfast"",""Cable TV"",""Bed linens"",""Free street parking""",$175.00 
