text,tweet_unique_id,author_handle,author_id,author_verified,date_tweeted,num_followers,num_following
"RT @HedgeMind: $TWLO's hype growth continues, revs up 86% y/y to $275M in the second quarter. Don't know why investors are not happy, maybe…",1156719610433015808,AshwinMaddi,57757815,False,2019-08-01 00:13:40+00:00,191,548
"Blog Post: ""Burn It to the Ground""

https://t.co/zMH0F9LLed

$CRWD $SPLK $OKTA $ZEN $TWLO $CRSP https://t.co/YYfcK0O6N1",1156719981083729923,JohnBonini,23892061,False,2019-08-01 00:15:08+00:00,390,688
$TWLO Twilio Inc. Class A Commo #LeaderPullBack Close: 139.11 Liq: $721M https://t.co/eBaf6lwtfW,1156721339325177856,stockmktgenius,914214567152160768,False,2019-08-01 00:20:32+00:00,597,58
Jeff Lawson (Twilio $TWLO Founder &amp; CEO) is so Amazon $AMZN Jeff Bezos pedigree/dyed-n-wool... Hackathons... Still Day 1...,1156727135530360834,newmoneyFC,3278201701,False,2019-08-01 00:43:34+00:00,1437,201
"RT @EvanKenty: $TWLO Regained all AH drop, short bloodbath",1156727777195958280,j_p_jacques,31173813,False,2019-08-01 00:46:07+00:00,1344,1780
"“RCS really turns messaging into essentially an app replacement for a whole lot of use cases.”- $TWLO, sometimes yo… https://t.co/5XoZoBcuQW",1156728172853043200,victoriouscake,1839307770,False,2019-08-01 00:47:42+00:00,5583,696
My $TWLO earnings trade is a loser. #FactsMatter,1156734137576898563,_jayschneider_,891431875004256257,False,2019-08-01 01:11:24+00:00,394,569
$TWLO https://t.co/NqXhcw1hOC,1156735288535846913,FlyrUsr,860675555955539972,False,2019-08-01 01:15:58+00:00,219,628
"RT @OphirGottlieb: $TWLO CEO ""[w]e see this as just the beginning, as we have the opportunity to change communications and customer engagem…",1156737637333577728,nelsnyc,17324802,False,2019-08-01 01:25:18+00:00,473,1084
Twilio $TWLO Releases FY 2019 Earnings Guidance https://t.co/8eYyKwO4yy,1156738572621422595,dispatchtribune,901194327925325825,False,2019-08-01 01:29:01+00:00,401,17
Twilio $TWLO Updates Q3 2019 Earnings Guidance https://t.co/513R0RrDqU,1156738901400309760,ThisLincolnian,930803511918411776,False,2019-08-01 01:30:19+00:00,297,35
Twilio $TWLO Issues Q3 2019 Earnings Guidance https://t.co/7jVUheg8ng,1156739391181795328,WeekHerald,888125801903775744,False,2019-08-01 01:32:16+00:00,542,44
Twilio $TWLO Issues FY 2019 Earnings Guidance https://t.co/TRLhbmjeI3,1156739513739370496,OlympiaReport,889957348793606144,False,2019-08-01 01:32:45+00:00,309,15
Twilio $TWLO Issues FY 2019 Earnings Guidance  https://t.co/CQt4mJW20O,1156739745575297024,EnterpriseLeade,966006214818697218,False,2019-08-01 01:33:41+00:00,373,4
Twilio $TWLO Issues FY 2019 Earnings Guidance https://t.co/YbpldSDZqg,1156739749425688576,registrarjourn,949377493915590662,False,2019-08-01 01:33:42+00:00,336,39
"RT @JohnBonini: Blog Post: ""Burn It to the Ground""

https://t.co/zMH0F9LLed

$CRWD $SPLK $OKTA $ZEN $TWLO $CRSP https://t.co/YYfcK0O6N1",1156740087578800134,Gambiste1,1136370591517290496,False,2019-08-01 01:35:02+00:00,1372,2
After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM… https://t.co/No2QatVHg8,1156740205489131520,IBD_ECarson,1544270486,False,2019-08-01 01:35:30+00:00,3456,325
RT @IBD_ECarson: After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM $FIVN $LRC…,1156740622604296198,IBDinvestors,21328656,True,2019-08-01 01:37:10+00:00,160897,456
RT @IBD_ECarson: After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM $FIVN $LRC…,1156740645245112321,tradnews_,980874245696819200,False,2019-08-01 01:37:15+00:00,1535,1
Twilio $TWLO Issues FY 2019 Earnings Guidance https://t.co/ooQMZdWRqT #stocks,1156741103493820416,AmericanBanking,61661638,False,2019-08-01 01:39:04+00:00,7000,2168
Twilio $TWLO Issues Q3 2019 Earnings Guidance https://t.co/d6PltY4Abv #stocks,1156741112159191040,AmericanBanking,61661638,False,2019-08-01 01:39:07+00:00,7000,2168
Twilio $TWLO Issues Q3 2019 Earnings Guidance https://t.co/C0gNXYjTDK #stocks,1156741215796248576,AmericanBanking,61661638,False,2019-08-01 01:39:31+00:00,7000,2168
Twilio $TWLO Issues FY 2019 Earnings Guidance https://t.co/0n4IooBCyP #stocks,1156741239959642113,AmericanBanking,61661638,False,2019-08-01 01:39:37+00:00,7000,2168
RT @IBD_ECarson: After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM $FIVN $LRC…,1156742424636600321,Gambiste1,1136370591517290496,False,2019-08-01 01:44:19+00:00,1372,2
RT @IBD_ECarson: After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM $FIVN $LRC…,1156742864455573504,trading23,807409241241874432,False,2019-08-01 01:46:04+00:00,90,343
RT @IBD_ECarson: After Hours: 5 Stocks Moving On Earnings; Futures Signal Losses https://t.co/bkThCWb4Ql $TWLO $AAPL $DXCM $QCOM $FIVN $LRC…,1156743068122517505,SunilKu75191048,760647053206753281,False,2019-08-01 01:46:53+00:00,4,15
"$TWLO (Twilio) down (8%) to $138/share after 7/26

Q2'19:
Rev: $275M, up 18%
Loss: ($93M)

162K Active Accounts in… https://t.co/StJPKDXty7",1156743821444689920,JJMFinancials,908994764963504129,False,2019-08-01 01:49:52+00:00,239,60
$TWLO at one point it reached $139. Tomorrow it’s going to fly high...now updated target $155 https://t.co/BO30ZW5ifH,1156747858860789760,SidDas04,230342285,False,2019-08-01 02:05:55+00:00,54,414
"RT @eWhispers: #earnings after the close 

$TWLO $QCOM $ZNGA $LRCX $WDC $FIT $AYX $OXY $TDOC $DXCM $EXEL $CTSH $KTOS $SPWR $BOOT $WLL $CAKE…",1156752650605453312,paynej247,2391736411,False,2019-08-01 02:24:57+00:00,4207,1304
$TWLO #update that first pivot 👌🏻 might even open green tomorrow.,1156756336186576896,BrandonPKoch,767005402047193089,False,2019-08-01 02:39:36+00:00,253,50
